timestamp,book,bid,ask,spread
"2023-10-02 01:53:34+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:35+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:36+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:37+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:38+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:39+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:40+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:41+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:42+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:43+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:44+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:45+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:46+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:47+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:48+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:49+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:50+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:51+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:52+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:53+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:54+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:55+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:56+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:58+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:53:59+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:00+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:01+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:02+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:03+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:04+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:05+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:06+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:07+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:08+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:09+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:10+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:11+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:12+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:13+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:14+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:15+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:16+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
"2023-10-02 01:54:17+00:00","btc_mxn",457240.0,457240.02,4.374070322765372e-06
